Country,Christian,Muslim,Unaffiliated,Hindu,Buddhist,Folk,Other,Jewish
Cambodia,0.004,0.02,0.002,0,0.969,0.006,0,0
Cameroon,0.703,0.183,0.053,0,0,0.033,0.027,0
Cape Verde,0.891,0.001,0.091,0,0,0.015,0.002,0
Central African Republic,0.895,0.085,0.01,0,0,0.01,0,0
Chad,0.406,0.553,0.025,0,0,0.014,0.001,0
Channel Islands,0.852,0,0.142,0,0,0,0.003,0
Chile,0.894,0,0.086,0,0,0.015,0.002,0.001
China,0.051,0.018,0.522,0,0.182,0.219,0.007,0
Colombia,0.925,0,0.066,0,0,0.008,0,0
Comoros,0.005,0.983,0.001,0,0,0.01,0,0
Cook Islands,0.96,0,0.032,0,0,0,0.008,0
Costa Rica,0.909,0,0.079,0,0,0.008,0.003,0
Croatia,0.934,0.014,0.051,0,0,0,0,0
Cyprus,0.732,0.253,0.012,0,0.002,0,0,0
Czech Republic,0.233,0,0.764,0,0,0,0,0
Democratic Republic of the Congo,0.958,0.015,0.018,0,0,0.007,0.001,0
Djibouti,0.023,0.969,0.002,0,0,0.003,0,0.002
Dominica,0.944,0.001,0.005,0,0.001,0.03,0.017,0
Dominican Republic,0.88,0,0.109,0,0,0.009,0.001,0
Ecuador,0.941,0,0.055,0,0,0.003,0,0
Egypt,0.051,0.949,0,0,0,0,0,0
El Salvador,0.882,0,0.11,0,0,0.005,0.003,0
Equatorial Guinea,0.887,0.04,0.05,0,0,0.017,0.005,0
Eritrea,0.629,0.366,0.001,0,0,0.004,0,0
Estonia,0.399,0.002,0.596,0,0,0,0,0.001
Ethiopia,0.628,0.346,0,0,0,0.026,0,0
Faeroe Islands,0.98,0,0.017,0,0,0,0.003,0
Falkland Islands (Malvinas),0.672,0.003,0.315,0,0.002,0,0.008,0
Federated States of Micronesia,0.953,0,0.009,0,0.004,0.027,0.007,0
Finland,0.816,0.008,0.176,0,0,0,0,0
France,0.63,0.075,0.28,0,0.005,0.003,0.002,0.005
French Polynesia,0.94,0,0.049,0,0,0.005,0.004,0
Gabon,0.765,0.112,0.056,0,0,0.06,0.007,0
Gambia,0.045,0.951,0,0,0,0.001,0,0
Georgia,0.885,0.107,0.007,0,0,0,0,0
Germany,0.687,0.058,0.247,0,0.003,0,0.001,0.003
Ghana,0.749,0.158,0.042,0,0,0.049,0.002,0
Greenland,0.961,0,0.025,0,0,0.008,0.006,0
Guam,0.942,0,0.017,0,0.011,0.015,0.016,0
Guatemala,0.952,0,0.041,0,0,0.006,0,0
Guinea,0.109,0.844,0.018,0,0,0.027,0,0
Guinea Bissau,0.197,0.451,0.043,0,0,0.309,0,0
Haiti,0.869,0,0.106,0,0,0.022,0.003,0
Honduras,0.876,0.001,0.105,0,0.001,0.011,0.006,0
Hungary,0.81,0,0.186,0,0,0,0,0.001
Iran,0.002,0.9999,0.001,0,0,0,0.002,0
Iraq,0.008,0.99,0.001,0,0,0,0,0
Israel,0.02,0.186,0.031,0,0.003,0.002,0.001,0.756
Ivory Coast,0.441,0.375,0.08,0,0,0.102,0.002,0
Jamaica,0.772,0,0.172,0,0,0.045,0.01,0
Japan,0.016,0.002,0.57,0,0.362,0.004,0.047,0
Kazakhstan,0.248,0.704,0.042,0,0.002,0.003,0.001,0
Kiribati,0.97,0,0.008,0,0,0,0.022,0
Kosovo,0.114,0.87,0.016,0,0,0,0,0
Kyrgyzstan,0.114,0.88,0.004,0,0,0.001,0,0
Laos,0.015,0,0.009,0,0.66,0.307,0.007,0
Latvia,0.558,0.001,0.438,0,0,0,0.002,0
Lebanon,0.383,0.613,0.003,0,0.002,0,0,0
